6
福祉用具等の給付

| 種目 | 性能 | 耐用年数 | 対象者 | |
| :--- | :--- | :--- | :--- | :--- |
| | | | 手帳障害程度 | 年齢 |
| 頭部保護帽 | 転倒の際、頭部を保護できる機能を有するもの | 3年 | 下肢又は体幹もしくは平衡機能障害の手帳の交付を受けた方<br><hr>発作等により頻繁に転倒する知的障害・精神障害のある方 | ―― |
| 便器 | 手すりのついた腰掛式のもの（取替えに当たり、住宅改修を伴うものを除く） | 8年 | 下肢又は体幹1・2級<br><hr>常時介護を要する難病患者等 | 学齢児以上 |
| 特殊便器 | 温水・温風を出し得るもの及び知的障害者（児）を介護している者が容易に使用し得るもの（取替えに当たり、住宅改修を伴うものを除く） | 8年 | 上肢1・2級<br><hr>愛の手帳1・2度（自ら排便の処理が困難な方）<br><hr>上肢機能に障害のある難病患者等 | 学齢児以上 |
| 火災警報器 | 室内の火災を煙又は熱により感知し、音又は光を発し屋外にもブザーで知らせ得るもの | 8年 | ①身障手帳1・2級<br>②愛の手帳1・2度<br>③精神手帳1級<br>（①②③いずれも火災発生の感知及び避難が著しく困難な障害者のみの世帯及び準ずる世帯に限る） | ―― |
| 自動消火器 | 室内温度の異常上昇又は炎の接触で自動的に消火液を噴射し、初期火災を消火し得るもの | 8年 | ①身障手帳1・2級<br>②愛の手帳1・2度<br>③精神手帳1級<br>④難病患者等<br>（①②③④いずれも火災発生の感知及び避難が著しく困難な障害者のみの世帯及び準ずる世帯に限る） | ―― |
| ガス安全システム | 警報機からの遮断信号、ガスの異常使用、地震時等にガスを自動的に遮断できるもの | 8年 | 身体障害者手帳所持者で、喉頭摘出等により臭覚機能を喪失した方（臭覚機能を喪失した方のみの世帯及び準ずる世帯に限る）<br><hr>下肢又は体幹1級（障害者のみの世帯及び準ずる世帯に限る） | 18歳以上 |

-69-
